Date,Author,Verified,Helpful,Title,Rating,Variation,Style
"Reviewed in Canada on February 19, 2024",Lealinds,yes,-,Not long lasting.,2,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 19, 2024",Jerry D.,yes,-,Y dogs favorite treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 16, 2024",Judy,yes,-,Gone in 1 night,3,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 13, 2024",Kerri Monis,yes,-,Omg!!! Amazing dog chew!!!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 6, 2024",regina medleyregina medley,yes,-,After opening the sealed package mold was on the yak stick,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on February 6, 2024",Josh Conway,yes,yes,Word of Warning for Super Chewers,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 30, 2024",Georgiann Jijon,yes,-,Moldy,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 26, 2024",Ron Cooper,-,-,My dog loved it.,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 24, 2024",N. StageN. Stage,yes,-,"Poor quality, breaking easily",2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 24, 2024",Katy95,-,-,I had to take it away,1,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 23, 2024",rosemarie guthre,yes,-,Dog chew,5,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 22, 2024",Customer Review,yes,yes,My Choco Lab Found Nirvana (Thanks to a Cheesy Brick from the Himalayas?) ️,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 9, 2024",MaryMary,yes,-,Always been a good product recently they are breaking apart only lasting 1 or 2 hours,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 7, 2024",Debra  Ulrich,yes,-,choking hazard,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 4, 2024",koda yellow,yes,-,This was a favorite,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 3, 2024",Amazon Customer,yes,-,Bad quality,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on January 2, 2024",Trevor Kapp,yes,-,Splintered easily,2,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 31, 2023",Mama1,yes,-,A little too hard,3,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 30, 2023",Boutrosbabe,-,-,Smells Terrible Out of the Bag,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 19, 2023",Amazon Customer,yes,-,Love this,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 8, 2023",KatieKatie,yes,-,Moldy,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 5, 2023",Chuck,yes,-,$12.00 for 2 hours of chewing,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 5, 2023",LiebJosi11,yes,-,Yak Cheese,5,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on December 1, 2023",Heather M Kessler,yes,-,DO NOT BUT THESE,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 30, 2023",S.C. NYS.C. NY,yes,-,Use with extreme caution,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 20, 2023",MariaMaria,yes,yes,Great for dogs that bite a lot,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 12, 2023",Gina TatosianGina Tatosian,yes,-,Not good!,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 1, 2023",HaleyHaley,yes,-,Broke right away with my puppy,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on November 1, 2023",Amazon CustomerAmazon Customer,yes,yes,The best!! But Only if it's says hard on front!!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 23, 2023",Aleta Kibler,yes,-,My dogs love these,5,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 23, 2023",Inge,yes,yes,great chew,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 19, 2023",Ivan,yes,-,Ehh okay. A bit expensive.,3,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 17, 2023",Placeholder,yes,-,Horrible product arrived filled with mold!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 16, 2023",That one guy said....,yes,-,My dog likes these.,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 15, 2023",Jennifer S.,yes,-,Teething Treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 6, 2023",Rah,-,-,Not long lasting,3,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 2, 2023",T GT G,yes,-,Sent me moldy chews,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on October 2, 2023",Kathleen McGlinchey,yes,-,Mold,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 27, 2023",Sarah SSarah S,yes,yes,Mold- but quickly replaced,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 21, 2023",Nicole M.Nicole M.,-,-,Almost killed my dog,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 20, 2023",Louise L,yes,yes,DANGEROUS-Product was full of very sharp shards,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 17, 2023",RO2,yes,-,Dog won’t try it.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 10, 2023",Ken Mitchell,yes,-,Always a great treat for the pups.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on September 6, 2023",Kim B,yes,yes,These are dangerous!!,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 28, 2023",Dawn Roth 1,-,-,Lasts for a few days!,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 22, 2023",Stephanie Lynn,yes,-,Doggie approved,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 19, 2023",Hello,-,-,Favorite,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 17, 2023",LindaW,yes,-,My dog LOVES these chews.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 8, 2023",mrm212,yes,yes,Long lasting (soak before!),5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 6, 2023",EmaEma,yes,yes,"Delivered less than an hour ago, over halfway gone 🥲",5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on August 3, 2023",Karen M,yes,yes,Recommended by Dog Trainer for Boxer Puppy,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 20, 2023",Bearskjold,yes,-,My dog won't chew it,3,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 19, 2023",Kenzie,yes,yes,Hard but brittle,3,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 18, 2023",AW123,yes,-,Absolutely terrible,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 17, 2023",Erin Coatney,yes,-,Broke into pieces,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 16, 2023",Sunil maharjanSunil maharjan,yes,yes,Not worth it to pay $11 for a single piece,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 15, 2023",C. Gervasi,yes,yes,Long lasting for aggressive chewere,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on July 14, 2023",SarahSarah,yes,-,Stale and moldy,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 13, 2023",A. L. MacPhailA. L. MacPhail,yes,yes,Puppy loved it for 90 minutes!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 11, 2023",elizabeth faileelizabeth faile,yes,-,Item damaged,2,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 9, 2023",mesh,yes,-,Not long lasting at all!,2,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 8, 2023",PaulaBear5,yes,-,Yak cheese,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 7, 2023",Girl who loves chocolate,yes,yes,Moldy!!!!!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 3, 2023",Alexis SypinskiAlexis Sypinski,yes,yes,Not good quality - mold,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 2, 2023",J. Mayo,yes,-,Dog thew up,1,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on July 2, 2023",mp,yes,-,Gone in 1 day,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 17, 2023",Natasha Douglas,yes,yes,Hard chewers not recommended,1,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 17, 2023",Viki,yes,-,Good and strong chew,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 16, 2023",Suhartono Surjani,yes,-,My dogs really loves it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 12, 2023",Rachel,yes,yes,Our dog loves these,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 11, 2023",G-MA,yes,-,My dog loves these,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 10, 2023",Daniel Freeman,yes,-,Only wish they lasted a little longer,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 8, 2023",Jimbo,yes,-,Fresh,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 8, 2023",Luce,yes,-,Lasts a long time.,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 7, 2023",Tyler Rylands,yes,yes,Made my dog sick,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on June 7, 2023",Maggie,yes,-,This is great!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on June 3, 2023",Jason GillettJason Gillett,yes,-,She loves it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 31, 2023",Colleen,yes,-,my dog went to work on it,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 31, 2023",Carolyne Larson,-,-,NOT A CHEW TOY BUT A TREAT--TOO BIG A ONE,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 29, 2023",shay,yes,-,Dogs favorite treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 13, 2023",Amazon Customer,yes,-,Amazing,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 9, 2023",Patrick,yes,-,Do not order the Chicken flavor,1,B081LYFK6W,Flavor Name: Chicken | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 8, 2023",Lash LaRue,yes,-,I have a bone to pick!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 5, 2023",TTTTTT,yes,-,Splinters! Dangerous!,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 5, 2023",K C,yes,-,The plain cheese one was so soft- what changed??,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 5, 2023",Kristy Williams,yes,yes,10/10 for my Aussie,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 4, 2023",Nick S.,yes,-,Doesn’t last as long as other yak chews,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 3, 2023",JMW,yes,-,Mold,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 3, 2023",Nancy Guigli,yes,-,Best one,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on May 3, 2023",Derek bowker,yes,-,My dog loves these,5,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in Canada on April 27, 2023",Josslyn StartekJosslyn Startek,yes,-,Please don’t waste your money.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 22, 2023",MomOfThreeMomOfThree,yes,yes,Not safe for dogs! Terrible quality control,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 20, 2023",debra k. levingston,yes,-,Great product,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 19, 2023",Laura ToblerLaura Tobler,yes,-,Cost me $300 in Vet bills,1,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 11, 2023",YotaGirl,yes,-,Broke Apart,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 8, 2023",Jean Edwards-Chieppo,yes,-,Can be dangerous,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 7, 2023",EA,yes,yes,Nice different treat,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 7, 2023",Jasmine,yes,-,Long durations,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 3, 2023",Gnatty77Gnatty77,yes,yes,READ THIS BEFORE BUYING!!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 3, 2023",Ashley Oliver,yes,-,Lasted 10 minutes,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on April 2, 2023",Mike Black,yes,-,Great Chew,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 28, 2023",Kim L.Kim L.,yes,-,"My dog is 37 pounds he chewed it in less than an hour. It was gone, waste of money.",1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 28, 2023",steventlorsteventlor,yes,-,Yes that is mold on the bone.,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 27, 2023",MJ,yes,-,Two different colors,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 27, 2023",Mary S.,yes,-,"Dogs loved, too pricey.",3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 27, 2023",Dianne ,yes,-,Great chew!,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 24, 2023",SL,yes,-,Dog liked it mom did not,5,B08BQ95QHT,Flavor Name: Peanut Butter | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 24, 2023",Amanda,yes,-,Long-Lasting,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 20, 2023",brian,-,-,Huge variation from the one I bought at PetSmart,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 17, 2023",shelly hansen,yes,-,Smelled musty,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 16, 2023",Aboutthatlife,yes,-,Yum,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 14, 2023",Amanda Kelton,yes,-,Doggo approved,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 13, 2023",Lori,yes,-,Gone in 15 minutes,2,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 13, 2023",Amazon Customer,yes,-,My pup loves it,5,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 12, 2023",Susan J. LeCureux,yes,-,Satisfies chewing,4,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 10, 2023",Barb P,yes,yes,Never again,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 10, 2023",Rob Dawg,yes,-,Pups love it,5,B08BQ2JK7M,Flavor Name: Bacon | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 6, 2023",Courtney,yes,-,It’s a no for me,1,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 6, 2023",TMS,yes,-,Lasted 15 min,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 4, 2023",David Norman,yes,-,Broke in half,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
"Reviewed in the United States on March 4, 2023",B,yes,-,Dog fractured a tooth,3,B001J9SUHG,Flavor Name: Cheese | Size: 3.3 Ounce (Pack of 1)
