Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on May 19, 2013",ECHO444,yes,yes,I didn't know that Titanium would rust.....,"I needed an extra (2) pair of scissors for around the house and these were the first to pop up on Amazon Prime so I bought them. When I opened the package one pair of scissors were rusting.... which leads me to ""I didn't think Titanium could rust""... and when I went back to read the description closer I see they are ""Titanium bonded stainless steal."" I'm not a big fan of deceptive marketing and fine print. They do not seem very durable but should be fine for basic household needs.",1,-,-,https://www.amazon.com/gp/customer-reviews/RUNJKUF6NSTVZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on November 29, 2022",RAFAEL A GONZALEZ L,yes,yes,The Best Scissors for Light to Medium Use Available Anywhere,"These Westcott scissors are perhaps far better than any other brands I have tested, and I have been through practically every one over the years (e.g. Fiskars, Scotch, TRU RED, Office Depot, and many generic brands). They cut through materials such as thin cardboard, plastic cards, and paper easily. However, from time to time, I get bad pairs right out of the box with bumps across the blades which makes for a rather poor cutting experience (i.e. the scissors don't feel smooth when opening and closing them). I recommend using a small amount light machine oil in the fulcrum area to keep them working like new. Also, wiping the blades down with a dry or mildly wet microfiber cloth helps remove any debris that can gum up the blades. I am surprised that the company does not recommend taking these measures as they can extend the life of the scissors.Rubbing alcohol will cause permanent stains on the metal, so I would recommend not using it on the blades. Contrary to the company's advertising, these scissors wear out rather quickly if frequently used for cutting tougher materials such as thick cardboard like the one found in shipping boxes. These are not quite industrial-strength scissors but should cut through most light and medium materials without any trouble. I would not recommend using these particular scissors to cut tape and other adhesive. The chemicals found in adhesive remover substances can stain the blades and ruin their precision but if it’s at all necessary to use adhesive remover, use it sparingly; Goo Gone is ideal for these situations being a light enough formula that removes adhesive without damaging metal and plastic surfaces like those found in these scissors. The lighter, drier, and less sticky the materials that are cut with these scissors are, the better for extending these scissors’ useful life.",5,-,-,https://www.amazon.com/gp/customer-reviews/R3RYU0QQ0FL7SK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 15, 2019",Mother Sue,yes,yes,Didn't get a cutting point,"These scissors appeared to be just what I wanted--small, sharp, with a Micro tip--for crafting. However I found that the tip of the scissors, though very sharp, did not cut to the end as I needed it to do. I was doing intricate paper cutting and the pointed ends of the scissors did not work together to cut in small, tight spaces. I had to try ordering something else.",3,-,-,https://www.amazon.com/gp/customer-reviews/RBN6QP2R1PMH0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 25, 2023",Tavis,yes,yes,"Great scissors, great price!","""These scissors are so sharp, I could cut through a diamond if I wanted to. But I won't, because that would be wasteful. Instead, I'll use them to cut paper, fabric, and other materials that are a little less precious.The titanium blades are strong and durable, so I know they'll last for years to come. And the ergonomic handles make them comfortable to use, even for long periods of time.If you're looking for a pair of scissors that are sharp, durable, and comfortable, then I highly recommend the Westcott 13901 8-Inch Titanium Scissors. They're the best scissors I've ever used, and I'm sure you'll love them too.""Here is a more detailed review of the Westcott 13901 8-Inch Titanium Scissors:  Sharp blades: The titanium blades are extremely sharp, and they can easily cut through paper, fabric, and other materials.  Durable: The scissors are made from high-quality materials, and they are designed to last for years to come.  Ergonomic handles: The handles are ergonomically designed, and they make the scissors comfortable to use, even for long periods of time.  Great value: The scissors are a great value for the price. They are well-made and durable, and they will last for years to come.I highly recommend the Westcott 13901 8-Inch Titanium Scissors to anyone who is looking for a sharp, durable, and comfortable pair of scissors. They are the best scissors I've ever used, and I'm sure you'll love them too.Here is a suggestion for how to improve the product:  Make the scissors in a wider range of colors.",5,-,-,https://www.amazon.com/gp/customer-reviews/R204ED90L9MM51/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on July 10, 2020",Thom,yes,yes,These are not good- just don't do it.,"There's something wrong with the manufacture of these scissors.  The quality control just isn't there at all.  If you're willing to file burrs off the blades and sharpen them, fine then- go ahead.  But, frankly, for just a few coins more you can get a better pair from Fiskars in the same format- but those have smoothly operating blades (these don't) and much more comfortable handles (these are oddly shaped- which at these dimensions can be problematic.)Seriously- I thought I'd forgotten how to use scissors at first as they weren't cutting tissue.  (Tissue!)  Turns out it was some defects on the blades that were keeping them apart- a little microfile action and they work well enough (just stick in some spots still- not smooth.)  But they were cheap.  I'll put 'em in the caddy and reach for them never since I have a Fiskars pair and some scary antique german scissors that I far prefer.Lesson learned.",2,-,-,https://www.amazon.com/gp/customer-reviews/R10HASLLELDIFE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 11, 2019",AtoZAtoZ,yes,yes,Scissors broke at the metal part after 6 months.,Scissors broke at the metal part after 6 months. The phone number provided by the seller doesn't exist. It should be covered by one-year warranty at least but noway for customers to get warranty.,1,https://images-na.ssl-images-amazon.com/images/I/41SNM55jlAL.jpg,-,https://www.amazon.com/gp/customer-reviews/R24EH4VA64KL6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on December 14, 2018",DJDJ,yes,yes,Defective,"See pics.  Tip is not formed on one side, instead a blob of metal at the end.  Don’t waste your time, not worth the price.",1,"https://images-na.ssl-images-amazon.com/images/I/616Y80d2XJL.jpg , https://images-na.ssl-images-amazon.com/images/I/61gTvtuMmeL.jpg , https://images-na.ssl-images-amazon.com/images/I/61w5VXZKf7L.jpg",-,https://www.amazon.com/gp/customer-reviews/R3HSRNGKW89J5V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on January 31, 2017",N. Nguyen,yes,yes,I fell for all the hype and good reviews.  Very disappointed!,"I can't believe all the great reviews.  I really, really, really want to like these scissors, but I CANT!  They are not that sharp and one of mine came with a bend on the blade to where you can see daylight between the two halves.  What is really disappointing is the scissors are no where near as sharp as my other brands.  I have 15 year old scissors that are sharper than these.",2,-,-,https://www.amazon.com/gp/customer-reviews/R2ADEZC9FHJGIU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on June 4, 2020",mrsmel269mrsmel269,yes,yes,Terrible quality,"I had these scissors years ago and a pair of them just broke so I figured I would order another set while they were on sale. I am not sure what changed from a few years ago, but I have had this new set for about a month at the most and while I was cutting a piece of tape the handle just broke into pieces. Seriously, a piece of tape broke scissors. Completely ridiculous. I contacted Amazon about the lifetime warranty stuff  but Amazon said since my return window was closed I had to go through the manufacturer. I asked them for their info and was told to Google the company name and go from there. Wow, way to help. I did go to the company website, but the warranty crap is a joke. They want original receipts and the item sent back and stuff. I think when ordering through Amazon there should be an easier way in my opinion to link my order details to them. It would be a waste to pay for shipping these broken scissors to them. I can easily provide detailed pictures. Anyway, I just threw them out and will move on to another brand since they don't seem to hold up.",1,"https://images-na.ssl-images-amazon.com/images/I/713l6WqQtRL.jpg , https://images-na.ssl-images-amazon.com/images/I/71UhEUkd1PL.jpg",-,https://www.amazon.com/gp/customer-reviews/R11B1URD2JWDMP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on April 12, 2020",Singleton,yes,yes,Don't waste your money!,I bought these because I previously bought a set identical from Office Max awhile back. I wanted to get another set. The ones from Office Max are still in great shape and just as sharp as when I bought them a couple of years ago. I literally used these ONE time and they snapped in half. I went to cut a price tag off of a shirt and they just fell apart. I do not know if they were cracked prior to me opening them or what because I obviously did not examine them...it's scissors.,1,-,-,https://www.amazon.com/gp/customer-reviews/R9NEXOS8VLPGB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RTSD2M,"Style: 8"" and 5"" Scissors Combo Pack"
"Reviewed in the United States on January 2, 2023",Joshua H.,yes,yes,Well I thought...,"I got these today and almost everything about them are great.Now I'm not complaining, it might be my own ignorance but when I saw ""6"" inches I thought it was the shear size and not the entire length from handle to tip.They are made well and kind of on par with Fiskars.The rivet that holds the entire thing together is nice and sturdy. They are sharp but I JUST took them out of the package.I needed a little bigger because I now have Primary Progressive MS and I need scissors for common things I used to do everyday like opening packages or anything plastic. My hands only work when they are in a good mood but scissors to cut through packages/ anything plastic wrapped with very few cuts sometimes means the difference in opening packages or waiting until my fingers and hands are in better moods... possibly for days or even a week.So far they seem to be well worth the money.",4,-,-,https://www.amazon.com/gp/customer-reviews/RDEFV71BTOQL9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on July 30, 2021",LV0865LV0865,yes,yes,WORST SCISSORS EVER,"This review is for the Westcott 16376 5"" Straight Titanium Bonded Craft Scissors with Micro Tip (White and Grey).After 7 months of light use and indoor storage these scissors only cut with about 1 inch near the tip. The rest of the edge will not cut anything.",1,"https://m.media-amazon.com/images/I/81at4jgtQ-L.jpg , https://m.media-amazon.com/images/I/C1Eh3AU4mkS.jpg",-,https://www.amazon.com/gp/customer-reviews/RLZEV9RQG9RBM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on November 8, 2020",ombeeombee,yes,yes,environmental waste,"These don't deserve even one star. Nothing burns me more than a useful item that could easily last decades made so poorly that it has to be thrown out and replaced. Given our planetary crisis, nobody should be making something so egregiously wasteful.One of the two of these scissors broke the second time I used them. The plastic handle just cracked in half while I was trimming the stems off some flowers (not particularly thick or tough stems). It's been less than a year since I purchased them and a bit of the plastic handle on the second pair just chipped off. I haven't done anything that should challenge a basic pair of scissors to produce such utterly disgraceful performance.",1,https://images-na.ssl-images-amazon.com/images/I/81jT8c6IOJL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1L1BMGTYPHJBW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on August 14, 2017",Big MamaBig Mama,yes,yes,Rust!,Ordered the two pack and noticed rust on the blade when I was inspecting. I know wescott make a great product but I'm unsure about this batch. I have not contacted customer service yet.,2,"https://images-na.ssl-images-amazon.com/images/I/61YJoH8nJKL.jpg , https://images-na.ssl-images-amazon.com/images/I/61jde3k8KnL.jpg , https://images-na.ssl-images-amazon.com/images/I/71Ucw1BrPCL.jpg , https://images-na.ssl-images-amazon.com/images/I/71adkoZ+3IL.jpg",-,https://www.amazon.com/gp/customer-reviews/R1UO4R7AIJZE4Z/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on March 4, 2024",J. Powell,yes,yes,"Broke a handle after two years, warranty replaced it...","For what we paid, they're good scissors. They seem to stay sharp, they're easy and comfortable to hold, and so far the lifetime warranty seems to be upheld.One of the handles split out along the long edge; we tried to superglue it back together however the handle material is VERY anti-stick somehow and glue wouldn't hold it in the slightest. We found the online form to submit a warranty claim, along with a picture of the broken handle and our Amazon invoice / receipt. About six weeks later we had a new pair of scissors arrive at our doorstep in plain brown packaging.I wish they hadn't broke, yet at the same time, we did get a replacement set. Fair enough, I suppose.",4,-,-,https://www.amazon.com/gp/customer-reviews/R3KATPTKZ2U4VH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on October 30, 2022",KJKJ,yes,yes,Poor quality,Scissors on top are ones I purchased two years ago which still have the micro-tip. Bottom pair has the micro tip chipped off and poor blade grinding. There was no sign of damage to the packaging (product or shipping). So it’s all on Wescott.,2,https://m.media-amazon.com/images/I/61sIYRbHX0L.jpg,-,https://www.amazon.com/gp/customer-reviews/R143MP9M57AYZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on October 15, 2023",Jess G,yes,yes,Love these little guys!!,"I'd been on the hunt for a good pair of small scissors for a while now and I almost gave up only to go to the dollar store!! LOL I'm happy I didn't though!I came across these, looked through some reviews, additional options of scissors and just kept coming back to this one in particular!!!I did purchase while it was ""on sale"" (this was NOT a VINE item) so I was excited about that however, once I received them and tried them, I was beyond satisfied with the purchase!!!They're small (which is AWESOME for people with smaller hands), sharp (probably not a great idea to let younger children use-obviously!), comfortable grip due to having a rubber lining inside the handles, ambidextirous so either a Righty or Lefty can use them, and I mean, they're GREAT quality!!If you need a good set of scissors that is small, able to reach tight cutting points, etc...Here they are!!!",5,-,-,https://www.amazon.com/gp/customer-reviews/R18BUX44S2H3SA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on August 8, 2023",Robert James,yes,yes,Inferior to the same exact scissors made several years ago,"I just returned some Amazon Basics scissors because the grind on the blades was so course you couldn't slide the blade across any material (see below). I have an old pair of Westcott Titanium scissors, the exact same as these here bought several years ago, and the grind is finer on the blades of the old pair and therefore the blades glide across materials very smoothly. These older scissors still cut well.The new ones do not slide as you cut very well at all. Because of the course grind, they hang up. Try cutting a paper towel in half by first folding the paper towel in half and creasing them and then sliding the scissors up into the fold and cut that way. You will see how the new scissors catch onto the paper and don't slide as you cut thru that fold. The old scissors glide by with no friction at all. That is because they used a fine grind on the blade. You can see the grind marks. I compared the new with the old. The new has courser grind marks. I'm sure it's cheaper to do it that way.I'm normally generous with my reviews and give 5 stars as much as I can. But when a company degrades the quality of their product like this, it is extremely disappointing. I thought I could rely on this brand.",1,-,-,https://www.amazon.com/gp/customer-reviews/RVT8RO96GVC6V/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on January 13, 2016",Donna,yes,yes,they'd be perfect. They're still great scissors,"I use Westcott for all of our scissors so I was excited to find some fabric scissors by this brand. They seem really well made. However, after a short while of use, the lower 2"" of the blades don't cut and they just pull fabric down. I did catch myself absentmindedly using them to cut paper, could that be why? I won't be quick to blame the scissors since I may have been the one to mess them up with improper use. At any rate, I bet if you are careful to use these exclusively for fabric, they'd be perfect. They're still great scissors, I just have an extra pair for school use now :P",3,-,-,https://www.amazon.com/gp/customer-reviews/R2GITILOIEK4U3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B001E69VC2,"Style: 8"" All Purpose ""Bent"""
"Reviewed in the United States on March 14, 2024",AbC_123,yes,yes,Great little crafting scissors!,"Wonderful - The Westcott crafting scissors are easy to hold and use. They are a small size and fit great in a bag on the go or in a small pencil case. I have purchased them a few times and have given them as gift to people who create arts and crafts or do sewing projects. The quality of the scissors is very nice. The price on Amazon can range from $5.98 to $15.98 for the same scissor. It tends to shoot up and down. If you watch, you can get this scissor for around $6 dollars. That is when I've been able to get a few. While it is worth $15, not everyone has the money to pay fifteen bucks for a pair of scissors. They are very nice quality and I will keep buying them and using them.",5,-,-,https://www.amazon.com/gp/customer-reviews/RRFTQXTWVLLRF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B072RV8SC7,"Style: 5"" Straight Scissors ""Micro Tip"""
"Reviewed in the United States on October 26, 2021",V M.V M.,yes,yes,You’re only as strong as your weakest link.,"I won’t lie: I used these scissors for a lot of heavy-duty paper, laminate, and fabric stuff, and these scissors have been through hell and back. Which is okay—when you advertise your scissors with durable materials like “titanium,” there’s an implicit assumption that these scissors can handle tough jobs. The good: they didn’t dull, they were comfortable enough. However, their fatal flaw is the center screw holding the whole thing together—it’s made of what appears to be plastic! That made the entire thing utterly unusable, which is a pity, because I quite enjoyed them. Until that critical weakness is addressed, I cannot recommend buying this.",1,https://m.media-amazon.com/images/I/81u3q9UtCML.jpg,-,https://www.amazon.com/gp/customer-reviews/R2GHMZ721CV7Q3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on April 30, 2024",J. Huster,yes,yes,Titanium or Not Titanium?,"Actually, I don't think it matters if its titanium or not...yet. I guess I'll find out when I eventually have to sharpen them.That aside, these were a good deal, feel great in my hand, seem durable, and came sharp. I'm not a scissors collector or expert so that's good enough for me.I use and abuse my scissors until the connecting rivet or screw falls out, or the blades bend enough that they no longer meet. That's what happened to my last pair, it was that brand with the orange handles, and gave years, if not decades of service until it couldn't. First scissors I ever bid adieu to. I played Taps as I laid it to rest in the trash can.I hope these last as long. They do have a screw, so I do anticipate having to tighten it eventually with a spot of Loctite.I promise not to probably use these as a nail puller, pry bar, or hole punch. But just in case, I have a spare.",5,-,-,https://www.amazon.com/gp/customer-reviews/RX47XOI00WYRH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on August 12, 2020",J. RappJ. Rapp,yes,yes,Cheap plastic that will not last. Look elsewhere.,"I rarely leave reviews, but these scissors are atrocious in terms of quality, and hopefully I can save some other folks the hassle. I have two pairs. Both exhibit cracking in the plastic. One pair gets very light use and will probably be fine for a while. But the pair that got daily use - nothing crazy, just normal cutting of packages, etc - just totally fell apart. The plastic is just cheap and brittle.The blades seem fine, though if they'd dulled in the time we had them, that would have been a surprise. But the lack of overall durability with basic use is truly shocking. Maybe we got a pair from a bad batch, but the plastic on these scissors simply does not last, even with only extremely light usage. Buy something else. Scotch, Fiskars, or any other reputable brand.",1,"https://images-na.ssl-images-amazon.com/images/I/81m1DZEWHCL.jpg , https://images-na.ssl-images-amazon.com/images/I/81ubmeg9CTL.jpg",-,https://www.amazon.com/gp/customer-reviews/R3DYZQYD7EZMRI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on August 16, 2017",PattyTPattyT,yes,yes,Sharp scissors. I wish the blades were longer though.,"These are very sharp, tough scissors and are priced really well at $6.30 for a set of two pair currently. The only thing I would like is to have the blades be a bit longer. They are pretty short, somewhere around 3.5 inches. If they were 5 or 6 inches, these would probably be the only brand of scissors I would buy. They do cut well through tough things like cardboard and other things that regular household scissors struggle with. I am happy with them but I removed a star because the blades are pretty short and that makes a little more work when cutting longer items. Still, I recommend these Westcott scissors, They are sharp and stay sharp.",4,"https://images-na.ssl-images-amazon.com/images/I/613AHvcmODL.jpg , https://images-na.ssl-images-amazon.com/images/I/619vd+0zd1L.jpg , https://images-na.ssl-images-amazon.com/images/I/61xyYbSXORL.jpg",-,https://www.amazon.com/gp/customer-reviews/R11Z20G5CAYSFQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
"Reviewed in the United States on July 24, 2017",Aimee BAimee B,yes,yes,Glad it comes in a pack of 2,"I was in need of new scissors because I used my old ones to try and cut some wires (oops). But these ones seem great. Since they are made of titanium, they should be strong and they cut really clean and really well. I am glad that I bought these and tried a new brand.",5,https://images-na.ssl-images-amazon.com/images/I/713mkkL6AYL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3OFDKJPCOSM0H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B000P0LNRE,B000P0LNRE,"Style: 8"" All Purpose 2-Pack"
